iter	Passed	Remaining
0	146	146292
1	177	88524
2	211	70168
3	242	60338
4	271	54081
5	300	49736
6	328	46599
7	356	44203
8	383	42282
9	411	40767
10	438	39460
11	465	38321
12	492	37370
13	520	36628
14	548	35988
15	575	35403
16	602	34839
17	628	34301
18	655	33835
19	681	33390
20	707	32974
21	734	32647
22	760	32302
23	786	32003
24	812	31685
25	839	31449
26	866	31220
27	894	31055
28	921	30855
29	947	30636
30	972	30406
31	998	30206
32	1025	30043
33	1050	29834
34	1076	29675
35	1101	29495
36	1129	29406
37	1155	29252
38	1181	29122
39	1208	28992
40	1234	28875
41	1261	28764
42	1285	28609
43	1311	28504
44	1338	28405
45	1364	28288
46	1389	28176
47	1415	28074
48	1441	27983
49	1467	27876
50	1493	27786
51	1516	27648
52	1541	27542
53	1566	27437
54	1590	27330
55	1616	27247
56	1641	27157
57	1667	27077
58	1692	27000
59	1719	26936
60	1745	26870
61	1772	26813
62	1799	26762
63	1824	26685
64	1849	26604
65	1875	26536
66	1901	26477
67	1925	26392
68	1950	26313
69	1977	26267
70	2002	26201
71	2027	26131
72	2051	26056
73	2077	26000
74	2103	25939
75	2128	25876
76	2152	25805
77	2178	25745
78	2202	25676
79	2226	25603
80	2249	25519
81	2273	25448
82	2299	25400
83	2324	25346
84	2348	25283
85	2374	25235
86	2398	25171
87	2438	25269
88	2481	25400
89	2517	25453
90	2557	25545
91	2590	25570
92	2624	25599
93	2655	25599
94	2685	25580
95	2715	25573
96	2743	25541
97	2772	25517
98	2800	25484
99	2827	25446
100	2853	25398
101	2879	25350
102	2904	25296
103	2930	25243
104	2954	25184
105	2980	25134
106	3006	25094
107	3034	25061
108	3060	25018
109	3087	24983
110	3113	24938
111	3139	24891
112	3167	24863
113	3193	24819
114	3222	24796
115	3250	24767
116	3277	24732
117	3304	24696
118	3330	24657
119	3357	24618
120	3383	24580
121	3411	24550
122	3437	24512
123	3465	24479
124	3492	24445
125	3517	24402
126	3544	24365
127	3573	24343
128	3600	24308
129	3628	24280
130	3656	24255
131	3684	24226
132	3710	24187
133	3735	24140
134	3759	24091
135	3784	24044
136	3811	24006
137	3837	23968
138	3862	23927
139	3891	23901
140	3914	23847
141	3938	23799
142	3964	23756
143	3989	23717
144	4014	23672
145	4039	23628
146	4064	23587
147	4091	23552
