SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Displacement_mm,Strain_micro,PorePressure_kPa,SeismicVibration_mm/s,SUBDIVISION_clean,latitude_rain,longitude_rain,latitude,longitude,dem_latitude,dem_longitude,dem_elevation,dem_slope,dem_aspect,crack_density,debris_entropy,debris_contrast,debris_homogeneity,vegetation_green_ratio,rockfall_risk
ANDAMAN & NICOBAR ISLANDS,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,136.3,560.3,1696.3,980.3,34.72542831,346.0407893,148.21371,1.6716448,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.042741667,1.532713242,880.2192619,0.956967919,0.687116667,2
ANDAMAN & NICOBAR ISLANDS,1902,0.0,159.8,12.2,0.0,446.1,537.1,228.9,753.7,666.2,197.2,359.0,160.5,3520.7,159.8,458.3,2185.9,716.7,34.9304714,339.8546631,170.2451578,1.322229069,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.020547917,5.30796761,118.006151,0.246274701,0.170235417,1
ANDAMAN & NICOBAR ISLANDS,1903,12.7,144.0,0.0,1.0,235.1,479.9,728.4,326.7,339.0,181.2,284.4,225.0,2957.4,156.7,236.1,1874.0,690.6,30.86937708,306.4197972,158.4310125,1.676173622,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.132104167,6.572625925,926.1626334,0.060115548,0.173583333,2
ANDAMAN & NICOBAR ISLANDS,1904,9.4,14.7,0.0,202.4,304.5,495.1,502.0,160.1,820.4,222.2,308.7,40.1,3079.6,24.1,506.9,1977.6,571.0,33.84205971,333.2215645,161.8629166,1.834996566,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019872917,0.910344792,274.0594954,0.973798061,0.164272917,1
ANDAMAN & NICOBAR ISLANDS,1905,1.3,0.0,3.3,26.9,279.5,628.7,368.7,330.5,297.0,260.7,25.4,344.7,2566.7,1.3,309.7,1624.9,630.8,25.19869325,248.9487008,137.4757716,0.815487844,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.02073125,3.270415855,95.75935363,0.63318513,0.16421875,1
ANDAMAN & NICOBAR ISLANDS,1906,36.6,0.0,0.0,0.0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,36.6,556.1,1465.8,475.9,24.87572609,248.070706,116.8495382,1.901322422,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.01988125,5.174331227,628.2874958,0.147912344,0.168085417,1
ANDAMAN & NICOBAR ISLANDS,1907,110.7,0.0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,110.7,751.2,1327.1,1158.9,36.63742563,371.1632144,183.5537249,2.462178684,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.02091875,3.28172764,108.4597143,0.630484934,0.16976875,1
ANDAMAN & NICOBAR ISLANDS,1908,20.9,85.1,0.0,29.0,562.0,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,106.0,591.0,2303.7,575.7,37.29886946,374.0267113,169.171067,2.283608953,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.045779167,5.300471138,1017.621622,0.192961565,0.683347917,2
ANDAMAN & NICOBAR ISLANDS,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,49.3,520.1,1701.0,629.0,28.05505123,282.0888955,147.098244,1.751897062,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.040633333,6.189550029,716.3715742,0.114176681,0.68413125,2
ANDAMAN & NICOBAR ISLANDS,1911,0.0,8.4,0.0,122.5,327.3,649.0,253.0,187.1,464.5,333.8,94.5,247.1,2687.2,8.4,449.8,1553.6,675.4,27.95712009,274.0936039,134.2564771,2.023468149,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.04053125,6.546844424,703.7443078,0.08308425,0.680789583,2
ANDAMAN & NICOBAR ISLANDS,1912,583.7,0.8,0.0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,2960.5,584.5,162.6,1775.2,438.2,28.67816461,282.3778757,146.2862618,1.721917715,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.037877083,5.620063368,101.2316827,0.386551608,0.695554167,1
ANDAMAN & NICOBAR ISLANDS,1913,84.8,0.5,1.3,2.5,190.7,530.0,280.8,205.8,580.1,288.8,133.0,67.5,2365.8,85.3,194.5,1596.7,489.3,22.72654049,236.25903,131.6759214,2.074380367,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.03750625,5.638500405,185.7657444,0.295933286,0.70279375,2
ANDAMAN & NICOBAR ISLANDS,1914,0.0,0.0,0.0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,0.0,336.5,2007.4,613.9,30.06192454,296.9432403,140.8388948,2.770053912,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.02061875,1.184172463,127.6966931,0.951370518,0.172004167,1
ANDAMAN & NICOBAR ISLANDS,1915,45.0,56.7,33.3,40.9,170.2,334.7,269.0,317.2,429.8,468.1,258.4,318.0,2741.3,101.7,244.4,1350.7,1044.5,23.58643951,244.1454364,123.5689474,2.484249401,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.02089375,1.4432783,85.46889074,0.931026475,0.171160417,1
ANDAMAN & NICOBAR ISLANDS,1916,0.0,0.0,0.0,0.5,487.4,450.1,317.3,425.0,561.2,369.7,192.6,133.7,2937.5,0.0,487.9,1753.6,696.0,25.92516433,258.0363374,147.0749549,2.260397153,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.04263125,5.777489828,842.6054024,0.157240252,0.68058125,2
ANDAMAN & NICOBAR ISLANDS,1917,8.0,3.6,112.0,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3,24.99942494,250.0056891,126.6217327,1.753557544,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019929167,0.830528394,535.925246,0.977461578,0.1678125,1
ANDAMAN & NICOBAR ISLANDS,1918,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227.0,366.9,175.0,3275.0,84.3,751.4,1670.4,768.9,30.72433776,312.5952034,197.5238292,2.374969196,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.041060417,2.644657213,88.45365096,0.874039431,0.728497917,1
ANDAMAN & NICOBAR ISLANDS,1919,10.2,18.0,0.0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1,28.2,319.4,1219.5,785.0,24.14949467,247.8544088,124.3700748,1.156561524,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.040545833,2.194596983,180.3322373,0.90848244,0.722733333,1
ANDAMAN & NICOBAR ISLANDS,1920,122.3,7.4,3.1,13.0,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2,129.7,253.5,1814.1,745.9,27.61595185,275.6054557,143.0665942,1.873823259,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.143179167,6.597784629,972.632256,0.059256658,0.174083333,2
ANDAMAN & NICOBAR ISLANDS,1921,13.2,3.1,0.0,37.5,351.2,282.7,487.1,330.0,581.2,360.7,118.2,41.5,2606.4,16.3,388.7,1681.0,520.4,23.2393926,230.4527107,119.7588843,2.29185571,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.041945833,2.167338643,786.2922769,0.944021698,0.685733333,1
ANDAMAN & NICOBAR ISLANDS,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162.0,541.0,192.2,3554.2,279.6,628.4,1751.0,895.2,38.47329754,384.4533731,158.9071159,2.370210607,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.042672917,2.154981577,635.7692389,0.944987405,0.6827625,1
ANDAMAN & NICOBAR ISLANDS,1923,79.5,0.0,0.0,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,0.0,79.5,0.0,2188.0,399.9,0.0,0.0,0.0,2.334942245,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019454167,0.908615193,282.8852335,0.973791034,0.163479167,0
ANDAMAN & NICOBAR ISLANDS,1924,28.7,0.0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,0.0,0.0,28.7,295.7,1296.6,0.0,0.0,0.0,0.0,2.147415345,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.0208875,4.902979644,79.15138657,0.388442592,0.1720125,0
ANDAMAN & NICOBAR ISLANDS,1925,36.6,0.0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196.0,2480.5,36.6,341.2,1385.7,717.0,21.95550363,219.5761856,138.2982865,1.90213751,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019910417,0.827449915,473.588603,0.977657243,0.168352083,1
ANDAMAN & NICOBAR ISLANDS,1926,122.1,0.0,0.0,0.5,198.4,370.0,195.3,523.7,719.3,443.8,148.4,560.7,3282.2,122.1,198.9,1808.3,1152.9,31.73323455,320.426777,175.3268914,2.268987985,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.045920833,5.717959082,976.0890909,0.151918559,0.6879125,2
ANDAMAN & NICOBAR ISLANDS,1927,3.0,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9,20.5,630.5,1124.8,667.1,24.65084518,254.7002505,124.4359483,1.52356948,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.019470833,0.910328791,317.6743286,0.973828016,0.164322917,1
ANDAMAN & NICOBAR ISLANDS,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3,118.5,709.5,1612.8,557.5,27.68101285,278.7166765,146.6833233,1.577661368,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.042008333,1.427911174,872.863726,0.955357947,0.681239583,2
ANDAMAN & NICOBAR ISLANDS,1929,74.2,118.4,129.2,69.8,316.6,588.8,134.0,644.7,172.9,413.0,251.5,13.5,2926.6,192.6,515.6,1540.4,678.0,30.01739604,301.7322246,149.0181236,2.030867338,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.037639583,2.590639799,88.58458299,0.875984465,0.72804375,1
ANDAMAN & NICOBAR ISLANDS,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1,192.8,373.6,1975.4,533.3,29.54972262,287.9026721,148.56862,2.086598821,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.02076875,1.457432695,60.03938699,0.931485371,0.16824375,1
ANDAMAN & NICOBAR ISLANDS,1931,25.3,0.0,2.5,2.5,205.4,393.5,289.3,571.0,294.4,368.3,22.8,182.7,2357.7,25.3,210.4,1548.2,573.8,22.9936125,216.7824743,135.06864,1.087192411,ANDAMAN & NICOBAR ISLANDS,11.67,92.75,11.67,92.75,8,81.0,55,72.65393471,231.3401917,0.03761875,2.169519447,170.0467098,0.909369429,0.699514583,1
