dem_slope,dem_elevation,dem_aspect,crack_density,debris_entropy,debris_contrast,debris_homogeneity,vegetation_green_ratio,Displacement_mm,Strain_micro,PorePressure_kPa,SeismicVibration_mm/s,ANNUAL,Jun-Sep,Oct-Dec,Mar-May,SEP,MAY,OCT,rockfall_risk
72.65393471,55,231.3401917,0.042741667,1.532713242,880.2192619,0.956967919,0.687116667,34.72542831,346.0407893,148.21371,1.6716448,3373.2,1696.3,980.3,560.3,332.6,528.8,388.5,1
72.65393471,55,231.3401917,0.020547917,5.30796761,118.006151,0.246274701,0.170235417,34.9304714,339.8546631,170.2451578,1.322229069,3520.7,2185.9,716.7,458.3,666.2,446.1,197.2,1
72.65393471,55,231.3401917,0.132104167,6.572625925,926.1626334,0.060115548,0.173583333,30.86937708,306.4197972,158.4310125,1.676173622,2957.4,1874.0,690.6,236.1,339.0,235.1,181.2,1
72.65393471,55,231.3401917,0.019872917,0.910344792,274.0594954,0.973798061,0.164272917,33.84205971,333.2215645,161.8629166,1.834996566,3079.6,1977.6,571.0,506.9,820.4,304.5,222.2,1
72.65393471,55,231.3401917,0.02073125,3.270415855,95.75935363,0.63318513,0.16421875,25.19869325,248.9487008,137.4757716,0.815487844,2566.7,1624.9,630.8,309.7,297.0,279.5,260.7,1
72.65393471,55,231.3401917,0.01988125,5.174331227,628.2874958,0.147912344,0.168085417,24.87572609,248.070706,116.8495382,1.901322422,2534.4,1465.8,475.9,556.1,164.3,556.1,267.8,1
72.65393471,55,231.3401917,0.02091875,3.28172764,108.4597143,0.630484934,0.16976875,36.63742563,371.1632144,183.5537249,2.462178684,3347.9,1327.1,1158.9,751.2,200.4,616.3,264.4,1
72.65393471,55,231.3401917,0.045779167,5.300471138,1017.621622,0.192961565,0.683347917,37.29886946,374.0267113,169.171067,2.283608953,3576.4,2303.7,575.7,591.0,428.8,562.0,170.7,1
72.65393471,55,231.3401917,0.040633333,6.189550029,716.3715742,0.114176681,0.68413125,28.05505123,282.0888955,147.098244,1.751897062,2899.4,1701.0,629.0,520.1,626.6,224.5,208.2,1
72.65393471,55,231.3401917,0.04053125,6.546844424,703.7443078,0.08308425,0.680789583,27.95712009,274.0936039,134.2564771,2.023468149,2687.2,1553.6,675.4,449.8,464.5,327.3,333.8,1
72.65393471,55,231.3401917,0.037877083,5.620063368,101.2316827,0.386551608,0.695554167,28.67816461,282.3778757,146.2862618,1.721917715,2960.5,1775.2,438.2,162.6,386.2,140.7,318.7,1
72.65393471,55,231.3401917,0.03750625,5.638500405,185.7657444,0.295933286,0.70279375,22.72654049,236.25903,131.6759214,2.074380367,2365.8,1596.7,489.3,194.5,580.1,190.7,288.8,1
72.65393471,55,231.3401917,0.02061875,1.184172463,127.6966931,0.951370518,0.172004167,30.06192454,296.9432403,140.8388948,2.770053912,2957.8,2007.4,613.9,336.5,310.8,298.8,139.8,1
72.65393471,55,231.3401917,0.02089375,1.4432783,85.46889074,0.931026475,0.171160417,23.58643951,244.1454364,123.5689474,2.484249401,2741.3,1350.7,1044.5,244.4,429.8,170.2,468.1,1
72.65393471,55,231.3401917,0.04263125,5.777489828,842.6054024,0.157240252,0.68058125,25.92516433,258.0363374,147.0749549,2.260397153,2937.5,1753.6,696.0,487.9,561.2,487.4,369.7,1
72.65393471,55,231.3401917,0.019929167,0.830528394,535.925246,0.977461578,0.1678125,24.99942494,250.0056891,126.6217327,1.753557544,2612.4,1605.1,583.3,412.4,471.8,295.9,238.1,1
72.65393471,55,231.3401917,0.041060417,2.644657213,88.45365096,0.874039431,0.728497917,30.72433776,312.5952034,197.5238292,2.374969196,3275.0,1670.4,768.9,751.4,303.3,729.3,227.0,1
72.65393471,55,231.3401917,0.040545833,2.194596983,180.3322373,0.90848244,0.722733333,24.14949467,247.8544088,124.3700748,1.156561524,2352.1,1219.5,785.0,319.4,170.7,283.9,186.2,1
72.65393471,55,231.3401917,0.143179167,6.597784629,972.632256,0.059256658,0.174083333,27.61595185,275.6054557,143.0665942,1.873823259,2943.2,1814.1,745.9,253.5,505.4,237.4,397.5,1
72.65393471,55,231.3401917,0.041945833,2.167338643,786.2922769,0.944021698,0.685733333,23.2393926,230.4527107,119.7588843,2.29185571,2606.4,1681.0,520.4,388.7,581.2,351.2,360.7,1
72.65393471,55,231.3401917,0.042672917,2.154981577,635.7692389,0.944987405,0.6827625,38.47329754,384.4533731,158.9071159,2.370210607,3554.2,1751.0,895.2,628.4,511.7,289.7,162.0,1
72.65393471,55,231.3401917,0.019454167,0.908615193,282.8852335,0.973791034,0.163479167,0.0,0.0,0.0,2.334942245,0.0,2188.0,399.9,0.0,560.5,293.5,131.9,1
72.65393471,55,231.3401917,0.0208875,4.902979644,79.15138657,0.388442592,0.1720125,0.0,0.0,0.0,2.147415345,0.0,1296.6,0.0,295.7,251.2,191.2,331.1,1
72.65393471,55,231.3401917,0.019910417,0.827449915,473.588603,0.977657243,0.168352083,21.95550363,219.5761856,138.2982865,1.90213751,2480.5,1385.7,717.0,341.2,201.9,282.2,249.5,1
72.65393471,55,231.3401917,0.045920833,5.717959082,976.0890909,0.151918559,0.6879125,31.73323455,320.426777,175.3268914,2.268987985,3282.2,1808.3,1152.9,198.9,719.3,198.4,443.8,1
72.65393471,55,231.3401917,0.019470833,0.910328791,317.6743286,0.973828016,0.164322917,24.65084518,254.7002505,124.4359483,1.52356948,2442.9,1124.8,667.1,630.5,126.2,504.1,327.5,1
72.65393471,55,231.3401917,0.042008333,1.427911174,872.863726,0.955357947,0.681239583,27.68101285,278.7166765,146.6833233,1.577661368,2998.3,1612.8,557.5,709.5,404.8,499.5,444.5,1
72.65393471,55,231.3401917,0.037639583,2.590639799,88.58458299,0.875984465,0.72804375,30.01739604,301.7322246,149.0181236,2.030867338,2926.6,1540.4,678.0,515.6,172.9,316.6,413.0,1
72.65393471,55,231.3401917,0.02076875,1.457432695,60.03938699,0.931485371,0.16824375,29.54972262,287.9026721,148.56862,2.086598821,3075.1,1975.4,533.3,373.6,677.2,231.5,82.3,1
72.65393471,55,231.3401917,0.03761875,2.169519447,170.0467098,0.909369429,0.699514583,22.9936125,216.7824743,135.06864,1.087192411,2357.7,1548.2,573.8,210.4,294.4,205.4,368.3,1
