,Accuracy,Precision,Recall,F1,AUC
CatBoost,0.9905660377358491,0.9905842571424522,0.9905697046793699,0.990554029208357,0.9995268196212992
LightGBM,0.983704974271012,0.9837089964172323,0.9837145204462937,0.9836911951498574,0.9992631980447685
XGBoost,0.9828473413379074,0.9828632039860885,0.9828554139170841,0.9828059264678983,0.9991992169164671
GradientBoosting,0.9794168096054888,0.9794419782983231,0.979430030300621,0.9793669606192559,0.9989940310581393
RandomForest,0.9768439108061749,0.9768655623042101,0.9768460852127668,0.976809689060744,0.9987990755008352
ExtraTrees,0.967409948542024,0.9673463156616618,0.9674091643919116,0.967260581930618,0.9978092432475864
MLP,0.951114922813036,0.9509605889218062,0.9511126423378299,0.9509031837511506,0.9937293676494111
AdaBoost,0.9313893653516295,0.9321759060523572,0.9314084046678858,0.9315036428318734,0.9885693024424373
SVM-RBF,0.9305317324185248,0.93029181017987,0.9305537151388265,0.9299356189186921,0.9914900992174202
KNN,0.8979416809605489,0.8973448435283052,0.8979628795307378,0.8963706021439458,0.977120366994615
LogisticRegression,0.8867924528301887,0.8864055736630624,0.8868452901527398,0.8863327051926299,0.9755971997378724
GaussianNB,0.7307032590051458,0.725599503795083,0.7308765978498043,0.7082210647537343,0.9081183146755721
